Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,WV,20,60,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,,,,32,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,B,60,,10,cobble,45,PAW,1,moderate,some
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,C,,,17,gravel,45,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,F,,,26,sand,10,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,G,20,30,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,O,,,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,S,,,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,U,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,W,,,32,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,5,WV,20,70,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,B,90,,16,cobble,50,A,0,none,none
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,C,,,35,gravel,50,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,F,,,50,sand,0,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,G,10,100,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,O,,,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,S,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,U,,,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,W,,,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,6,WV,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,18,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,B,50,,12,cobble,60,PAW,0,none,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,C,,,35,gravel,35,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,F,,,37,sand,5,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,G,25,90,47,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,O,,,55,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,S,,,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,U,,,37,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,W,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,7,WV,25,10,20,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,16,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,B,100,,10,cobble,40,A,0,none,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,C,,,26,gravel,45,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,F,,,43,sand,15,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,G,,80,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,8,O,,,45,,,,,,
