Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,G,25,95,45,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,O,,,35,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,S,,,38,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,U,,,60,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,W,,,50,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,WV,15,,30,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,,,,10,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,B,95,2,50,cobble,45,PAW,0,minimal,moderate
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,C,,,50,gravel,40,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,F,,,70,sand,15,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,G,5,98,50,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,O,,,40,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,S,,,31,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,U,,,60,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,W,,,50,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,WV,,,32,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,2,,,,17,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,B,90,,50,cobble,35,PAW,0,none,some
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,C,,,70,gravel,60,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,F,,,70,sand,5,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,G,5,100,59,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,O,,,50,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,S,,,50,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,3,U,,,52,,,,,,
